lad21cd,local_authority,population,imd_average_score,ruc21_settlement_class,rurality,collection_type,household_collected,household_recycled,household_recycle_rate,population_density
E06000059,Dorset,381292,15.735,Intermediate rural,0.467,Two Stream,182942,109436,0.598200522569995,151.241869610722
E06000060,Buckinghamshire,555257,10.0742837695989,Intermediate urban,0.289,Two Stream,239199,117684,0.491992023378024,354.808333602971
E06000061,North Northamptonshire,360381,19.6852609181341,Intermediate urban,0.267,Co-Mingled,158678,71985,0.453654570891995,365.277705415594
E06000062,West Northamptonshire,426462,17.535224441427,Intermediate urban,0.274,Co-Mingled,189987,90407,0.475858874554575,308.941873098263
E07000008,Cambridge,144714,14.855,Urban,0,Co-Mingled,107230,52437,0.489014268395039,3555.73155252721
E07000009,East Cambridgeshire,88145,11.507,Rural,0.626,Co-Mingled,32810,18559,0.565650716245047,135.249716751303
E07000010,Fenland,102742,25.426,Intermediate urban,0.235,Co-Mingled,43500,17293,0.397540229885058,187.706196981166
E07000011,Huntingdonshire,181804,12.55,Rural,0.503,Co-Mingled,72830,40451,0.555416723877523,199.22725491182
E07000012,South Cambridgeshire,163002,8.496,Rural,0.667,Co-Mingled,107230,52437,0.489014268395039,180.774451666036
E07000026,Allerdale,96384,22.938,Rural,0.683,Two Stream,40856,14707,0.359971607597415,73.0547361550333
E07000027,Barrow-in-Furness,67375,31.117,Urban,0.18,Two Stream,25474,4519,0.177396561199655,510.125671438237
E07000028,Carlisle,110255,21.997,Intermediate urban,0.275,Multi-Stream,44568,18280,0.410159755878657,104.329826706028
E07000029,Copeland,67176,25.012,Rural,0.644,Multi-Stream,27307,9775,0.357966821694071,86.6182461018501
E07000030,Eden,54955,16.328,Rural,0.695,Multi-Stream,21137,9316,0.440743719543928,25.4837611120828
E07000031,South Lakeland,104676,12.501,Rural,0.6,Multi-Stream,45328,20398,0.450008824567596,60.0382444947773
E07000032,Amber Valley,126489,17.97,Intermediate urban,0.235,Two Stream,48186,14230,0.295313991615822,476.529598166169
E07000033,Bolsover,80476,25.047,Intermediate rural,0.471,Two Stream,34347,13235,0.385332052289865,501.925201604629
E07000034,Chesterfield,103672,24.926,Urban,0.009,Two Stream,41584,17869,0.429708541746826,1569.94835447021
E07000035,Derbyshire Dales,71681,11.895,Rural,0.771,Two Stream,26376,13592,0.515316954807401,90.1287214923935
E07000036,Erewash,113047,18.818,Urban,0.163,Co-Mingled,46898,19593,0.417779009765875,1031.16804697319
E07000037,High Peak,91104,15.642,Intermediate urban,0.299,Co-Mingled,35419,16899,0.477116801716593,168.631790803055
E07000038,North East Derbyshire,102315,17.399,Intermediate rural,0.397,Two Stream,41205,18668,0.453051814100231,371.212870328925
E07000039,South Derbyshire,108063,14.494,Intermediate rural,0.411,Two Stream,44048,20591,0.467467308390846,319.592961239815
E07000040,East Devon,152120,12.764,Rural,0.528,Two Stream,49528,30234,0.610442577935713,184.959508642906
E07000041,Exeter,129307,16.215,Urban,0,Co-Mingled,39122,9979,0.255073871478963,2700.37733591529
E07000042,Mid Devon,83186,16.928,Rural,0.745,Two Stream,29223,15682,0.53663210484892,91.1227843363665
E07000043,North Devon,99435,20.559,Rural,0.538,Multi-Stream,39138,18881,0.48242117635035,90.0083598287064
E07000044,South Hams,89213,13.724,Rural,0.803,Two Stream,31936,14907,0.466777304609219,98.5550283885853
E07000045,Teignbridge,135216,15.893,Intermediate rural,0.432,Multi-Stream,51379,28567,0.556005371844528,198.831632222456
E07000046,Torridge,68475,23.269,Rural,0.551,Multi-Stream,25026,13481,0.538679773036043,68.799345700525
E07000047,West Devon,57488,18.052,Rural,0.778,Multi-Stream,18268,9879,0.540781694766805,49.3572940824644
E07000061,Eastbourne,101593,22.11,Urban,0,Co-Mingled,34901,13562,0.388584854302169,2241.12445390139
E07000062,Hastings,90959,34.281,Urban,0,Co-Mingled,32152,10039,0.312235630753919,2953.10914745853
E07000063,Lewes,100194,15.758,Intermediate urban,0.213,Co-Mingled,34807,14278,0.410204843853248,340.335288112719
E07000064,Rother,93429,19.768,Rural,0.519,Two Stream,40115,18644,0.464763804063318,180.670570769203
E07000065,Wealden,160749,12.311,Intermediate rural,0.355,Co-Mingled,63253,30901,0.488530188291465,192.246542328967
E07000066,Basildon,187659,23.243,Urban,0.002,Two Stream,83707,37873,0.452447226635765,1699.05361767747
E07000067,Braintree,155710,14.723,Intermediate rural,0.357,Co-Mingled,64039,30144,0.470713159168632,254.549567860898
E07000068,Brentwood,77103,10.007,Intermediate urban,0.28,Two Stream,30551,12422,0.406598802003208,503.532921378278
E07000069,Castle Point,89708,16.842,Urban,0,Two Stream,35471,16895,0.476304586845592,1410.01385359399
E07000070,Chelmsford,181763,12.221,Urban,0.195,Multi-Stream,74532,31126,0.417619277625718,529.925450993782
E07000071,Colchester,192424,16.778,Intermediate urban,0.252,Multi-Stream,64333,35249,0.547914756035005,554.89875109106
E07000072,Epping Forest,134909,15.068,Intermediate urban,0.256,Two Stream,56924,30873,0.542354718572131,397.980290544568
E07000073,Harlow,93374,21.413,Urban,0,Co-Mingled,29762,11808,0.396747530407903,3057.64140562397
E07000074,Maldon,66627,14.169,Rural,0.647,Two Stream,25859,15076,0.583007850264898,155.652666884361
E07000075,Rochford,86186,10.449,Urban,0.119,Co-Mingled,35272,21127,0.598973690179179,327.827558167002
E07000076,Tendring,148934,30.484,Intermediate urban,0.323,Two Stream,52857,21371,0.4043173089657,406.720534213855
E07000077,Uttlesford,91948,9.258,Rural,0.704,Co-Mingled,34074,17645,0.517843517051124,143.403694644829
E07000078,Cheltenham,118866,14.26,Urban,0,Multi-Stream,49065,24640,0.502190971160705,2550.98769298791
E07000079,Cotswold,91125,11.061,Rural,0.791,Multi-Stream,39994,23672,0.591888783317498,78.2508287093398
E07000080,Forest of Dean,87140,18.013,Rural,0.65,Multi-Stream,35293,19153,0.542685518374749,155.29504272398
E07000081,Gloucester,132538,21.807,Urban,0,Two Stream,47585,20779,0.436671219922244,3246.36179656489
E07000082,Stroud,121529,10.797,Intermediate urban,0.269,Two Stream,39391,22933,0.58218882485847,255.218656289174
E07000083,Tewkesbury,95429,12.142,Intermediate urban,0.292,Co-Mingled,37331,20188,0.540783798987437,229.962753859135
E07000084,Basingstoke and Deane,185656,12.823,Intermediate urban,0.26,Two Stream,64128,19027,0.296703468063872,292.917275439809
E07000085,East Hampshire,126199,10.284,Intermediate rural,0.367,Two Stream,42192,15506,0.367510428517254,245.317130386781
E07000086,Eastleigh,136974,10.192,Urban,0.005,Two Stream,46861,20552,0.438573653997994,1606.03778914942
E07000087,Fareham,114993,9.019,Urban,0.007,Co-Mingled,36449,12823,0.351806633926857,1476.42242820437
E07000088,Gosport,82178,20.541,Urban,0,Co-Mingled,26336,7156,0.271719319562576,2976.61551860276
E07000089,Hart,100293,5.544,Intermediate urban,0.299,Two Stream,34928,14300,0.409413650939075,465.904640255663
E07000090,Havant,124470,21.806,Urban,0.015,Co-Mingled,44407,14472,0.325894566172,1576.64400752064
E07000091,New Forest,176262,13.015,Intermediate urban,0.308,Two Stream,59675,19534,0.327339757017176,227.058163977735
E07000092,Rushmoor,100068,15.903,Urban,0,Two Stream,33463,12323,0.368257478408989,2562.88634875053
E07000093,Test Valley,131190,11.931,Intermediate urban,0.323,Co-Mingled,46620,17941,0.384834834834835,209.027158953578
E07000094,Winchester,127916,9.615,Intermediate rural,0.447,Two Stream,43378,17597,0.405666466872608,193.501171025425
E07000095,Broxbourne,99138,17.989,Urban,0,Multi-Stream,36874,15420,0.418180832022563,1927.1687778842
E07000096,Dacorum,155217,13.004,Urban,0.087,Co-Mingled,58453,30820,0.527261218414795,730.514086440353
E07000098,Hertsmere,108105,13.938,Urban,0.137,Two Stream,39871,17679,0.443404981063931,1068.99005607908
E07000099,North Hertfordshire,133571,11.627,Urban,0.17,Two Stream,48435,27953,0.577123980592547,355.826565059614
E07000102,Three Rivers,93952,9.871,Urban,0.021,Co-Mingled,33805,21453,0.634610264753735,1057.73009077866
E07000103,Watford,102451,15.41,Urban,0,Co-Mingled,32372,16725,0.516650191523539,4780.64955951382
E07000105,Ashford,133178,18.546,Intermediate rural,0.37,Co-Mingled,49269,25466,0.516876737908218,229.37311268572
E07000106,Canterbury,156554,16.798,Urban,0.122,Two Stream,53195,23873,0.448782780336498,491.374169212735
E07000107,Dartford,116777,18.812,Urban,0.082,Two Stream,41435,10054,0.242645106793773,1530.28892747518
E07000108,Dover,116595,22.161,Intermediate urban,0.323,Two Stream,41672,18213,0.437056056824726,363.472178227465
E07000109,Gravesham,106838,21.414,Urban,0.146,Co-Mingled,36951,15653,0.423615057779221,1017.90442620402
E07000110,Maidstone,176712,16.503,Intermediate urban,0.251,Co-Mingled,61471,32454,0.527956272063249,449.247920227042
E07000111,Sevenoaks,120841,12.437,Intermediate rural,0.463,Co-Mingled,49057,19054,0.388405324418534,326.291403900955
E07000112,Folkestone and Hythe,110056,24.149,Intermediate rural,0.381,Two Stream,40697,18429,0.452834361255129,301.137748140606
E07000113,Swale,152223,27.076,Intermediate urban,0.229,Co-Mingled,58240,24306,0.417342032967033,360.716426499835
E07000114,Thanet,140678,31.314,Urban,0.021,Two Stream,52829,18179,0.344110242480456,1250.87045073012
E07000115,Tonbridge and Malling,132386,13.333,Intermediate rural,0.355,Two Stream,47504,21318,0.448762209498148,549.380083439727
E07000116,Tunbridge Wells,115681,11.31,Intermediate rural,0.457,Multi-Stream,43079,20613,0.478493001230298,349.142542629403
E07000117,Burnley,94721,37.793,Urban,0.052,Two Stream,31579,10155,0.32157446404256,855.778628380403
E07000118,Chorley,117937,16.863,Intermediate rural,0.358,Two Stream,46502,21739,0.467485269450776,581.24113617281
E07000119,Fylde,81845,15.875,Intermediate urban,0.235,Two Stream,33093,14686,0.44377965128577,450.393289943826
