lad21cd,local_authority,population,imd_average_score,ruc21_settlement_class,rurality,collection_type,household_collected,household_recycled,household_recycle_rate,population_density
E08000003,Manchester,549853,40.005,Urban,0,Two Stream,168451,66809,0.396607915654998,4754.52450749438
E08000004,Oldham,242072,33.155,Urban,0.016,Two Stream,75760,35193,0.464532734952482,1700.60163963861
E08000005,Rochdale,224087,34.415,Urban,0.019,Two Stream,74169,37524,0.505925656271488,1417.12253017519
E08000006,Salford,270764,34.21,Urban,0,Two Stream,85168,40768,0.478677437535225,2785.71585734614
E08000007,Stockport,295243,20.826,Urban,0.004,Two Stream,104213,62851,0.603101340523735,2342.44899122318
E08000008,Tameside,231199,31.374,Urban,0.002,Two Stream,75188,39576,0.526360589455764,2241.29305050909
E08000009,Trafford,235546,16.088,Urban,0.003,Two Stream,80702,47469,0.588201035909891,2221.19723663133
E08000010,Wigan,329759,25.713,Urban,0.034,Two Stream,140791,74564,0.529607716402327,1752.44314028674
E08000011,Knowsley,154974,43.006,Urban,0.002,Co-Mingled,61962,16391,0.26453310093283,1791.6056780309
E08000012,Liverpool,484488,42.412,Urban,0,Co-Mingled,192247,44042,0.229090701025244,3628.20659680839
E08000013,St. Helens,183391,31.518,Urban,0.048,Multi-Stream,68104,25071,0.36812815693645,1344.91509726523
E08000014,Sefton,279692,27.035,Urban,0.014,Co-Mingled,118602,39340,0.331697610495607,1381.4513507384
E08000015,Wirral,320600,29.589,Urban,0.006,Co-Mingled,127683,41252,0.32308138123321,1264.97548585457
E08000016,Barnsley,244893,29.933,Urban,0.108,Two Stream,106474,47785,0.448795010988598,744.180108552622
E08000017,Doncaster,308705,30.289,Urban,0.161,Two Stream,141883,63544,0.44786197077874,542.98286761707
E08000018,Rotherham,266183,29.55,Urban,0.107,Two Stream,107853,48570,0.450335178437317,928.974080497214
E08000019,Sheffield,554401,27.06,Urban,0.017,Two Stream,193078,61964,0.320927293632625,1506.8110231064
E08000021,Newcastle upon Tyne,298264,29.79,Urban,0.037,Two Stream,110680,40605,0.366868449584387,2591.25606657128
E08000022,North Tyneside,209151,22.279,Urban,0.002,Two Stream,89955,31621,0.351520204546718,2465.78990065481
E08000023,South Tyneside,147915,31.509,Urban,0.001,Two Stream,66859,21641,0.323681179796288,2205.24550339467
E08000024,Sunderland,274211,30.586,Urban,0.007,Two Stream,117816,35146,0.298312623073267,1964.00958999722
E08000025,Birmingham,1142494,38.067,Urban,0,Two Stream,401225,91670,0.228475294410867,4266.36350419878
E08000026,Coventry,343320,25.613,Urban,0.002,Co-Mingled,122265,34976,0.286067149225044,3480.56842505465
E08000027,Dudley,323581,24.103,Urban,0,Multi-Stream,127424,46388,0.364044450025113,3303.25441710812
E08000028,Sandwell,341729,34.884,Urban,0,Co-Mingled,128000,34887,0.2725546875,3994.0776302593
E08000029,Solihull,216666,17.37,Urban,0.122,Two Stream,91174,32102,0.352095992278501,1215.298559264
E08000030,Walsall,284306,31.555,Urban,0.001,Co-Mingled,117072,39279,0.335511480114801,2734.40727825453
E08000031,Wolverhampton,264036,32.102,Urban,0,Co-Mingled,102378,38137,0.372511672429624,3802.54194052151
E08000032,Bradford,546976,34.666,Urban,0.078,Co-Mingled,206356,74459,0.360827889666402,1492.75798264745
E08000033,Calderdale,206818,26.351,Urban,0.188,Multi-Stream,83580,42814,0.5122517348648,568.24221319532
E08000034,Kirklees,433355,25.151,Urban,0.11,Co-Mingled,161717,43485,0.26889566341201,1060.71041090391
E08000035,Leeds,809036,27.301,Urban,0.066,Co-Mingled,317123,114208,0.360137864487912,1466.42453452001
E08000036,Wakefield,353802,27.306,Urban,0.176,Co-Mingled,161796,79558,0.491717965833519,1044.8357394279
E08000037,Gateshead,196154,28.217,Urban,0.082,Two Stream,90005,28561,0.317326815176935,1361.51139524279
E09000001,City of London,8618,14.72,Urban,0,Co-Mingled,3432,1096,0.319347319347319,2738.58184887422
E09000002,Barking and Dagenham,218534,32.768,Urban,0,Co-Mingled,85560,26103,0.305084151472651,5784.10178209748
E09000003,Barnet,388639,16.148,Urban,0,Co-Mingled,144363,43006,0.297901816947556,4479.12604148853
E09000004,Bexley,246543,16.273,Urban,0,Multi-Stream,90450,38610,0.426865671641791,3833.3241168094
E09000005,Brent,338918,25.558,Urban,0,Co-Mingled,89738,33961,0.37844614321692,7838.7256634898
E09000006,Bromley,329830,14.163,Urban,0,Two Stream,128563,62590,0.486843026376174,2196.92630322855
E09000007,Camden,210390,20.131,Urban,0,Co-Mingled,63001,17679,0.280614593419152,9660.40960077251
E09000008,Croydon,390506,22.477,Urban,0,Two Stream,140341,54047,0.385111977255399,4515.10898782749
E09000009,Ealing,366127,22.71,Urban,0,Co-Mingled,87977,41914,0.476419973402139,6591.88623633859
E09000010,Enfield,329601,25.781,Urban,0,Co-Mingled,109510,33853,0.309131586156515,4010.216301723
E09000011,Greenwich,289254,24.464,Urban,0,Co-Mingled,107383,33821,0.314956743618636,5733.82805708587
E09000012,Hackney,259956,32.526,Urban,0,Co-Mingled,86863,25266,0.290871832656022,13650.3708750039
E09000013,Hammersmith and Fulham,183295,22.27,Urban,0,Co-Mingled,44558,11704,0.262668881009022,10681.8353561001
E09000014,Haringey,264130,27.956,Urban,0,Co-Mingled,83752,25295,0.302022638265355,8921.44551834206
E09000015,Harrow,260987,15.031,Urban,0,Co-Mingled,90912,32421,0.356619588173178,5171.71848448294
E09000016,Havering,262022,16.789,Urban,0,Co-Mingled,109978,40299,0.36642783102075,2289.26271608421
E09000017,Hillingdon,304792,18.223,Urban,0,Co-Mingled,107926,41217,0.38190056149584,2634.23090041782
E09000018,Hounslow,287940,21.487,Urban,0,Multi-Stream,92438,33151,0.35862956792661,5088.19793294766
E09000019,Islington,216767,27.535,Urban,0,Co-Mingled,58261,17544,0.301127684042498,14589.2038863102
E09000020,Kensington and Chelsea,143940,21.526,Urban,0,Co-Mingled,47237,10903,0.230814827359909,11623.0244352432
E09000021,Kingston upon Thames,167845,11.381,Urban,0,Two Stream,60330,29026,0.481120503895243,4504.76721357857
E09000022,Lambeth,317498,25.422,Urban,0,Co-Mingled,71833,24795,0.34517561566411,11656.6112471575
E09000023,Lewisham,299810,26.661,Urban,0,Co-Mingled,92194,25068,0.27190489619715,8489.8381788622
E09000024,Merton,215324,14.649,Urban,0,Two Stream,71215,29916,0.42008003931756,5723.04329503712
E09000025,Newham,350626,29.577,Urban,0,Co-Mingled,126213,31300,0.247993471353981,9089.26912911105
E09000026,Redbridge,309836,17.203,Urban,0,Two Stream,102110,31124,0.304808539810009,5490.21047484009
E09000027,Richmond upon Thames,195232,9.425,Urban,0,Two Stream,73377,29966,0.408384098559494,3323.29394641765
E09000028,Southwark,306374,25.811,Urban,0,Co-Mingled,111574,39809,0.356794593722552,10238.7155342297
E09000029,Sutton,209517,13.987,Urban,0,Two Stream,71152,31549,0.443402855857882,4778.29045078771
E09000030,Tower Hamlets,312273,27.913,Urban,0,Co-Mingled,88273,17403,0.197149751339594,14472.5546156417
E09000031,Waltham Forest,278050,25.209,Urban,0,Co-Mingled,100835,32277,0.320097188476224,7164.34797609629
E09000032,Wandsworth,328367,16.611,Urban,0,Co-Mingled,99366,22735,0.228800595777228,9324.36129068873
E09000033,Westminster,205087,20.339,Urban,0,Co-Mingled,73207,15323,0.209310585053342,9306.15274970521
